Theme,Point,Point Index,Distance to Centroid (PCA),Distance to Centroid (t-SNE)
Climate,RAG,0,0.059034628541381653,37.33158540322708
Climate,RAG,1,0.21797614579779115,37.51635990064724
Climate,RAG,2,0.05310166609468367,37.2504539003776
Climate,RAG,3,0.15176403649497708,37.360967126428264
Climate,RAG,4,0.15514580001367323,37.18907124234394
Climate,RAG,5,0.13675893073808354,37.41916799365543
Climate,RAG,6,0.27489489735695705,37.57504202294419
Climate,RAG,7,0.3473237880333984,37.56891331060158
Climate,RAG,8,0.14609842488896133,37.1551501765867
Climate,RAG,9,0.514284697850745,37.804417356348736
Covid,RAG,0,0.11330880017263938,31.585069792918297
Covid,RAG,1,0.1423006116432557,31.412047946439813
Covid,RAG,2,0.2999531932495267,31.441910645330655
Covid,RAG,3,0.19125752962514722,31.415803820024642
Covid,RAG,4,0.06449460560059735,31.543996308813753
Covid,RAG,5,0.17788350819358137,31.4711693320327
Covid,RAG,6,0.1809488396298916,31.68779169647739
Covid,RAG,7,0.6404575070912617,32.15983565453378
Covid,RAG,8,0.36875718854477474,31.901122138705094
Covid,RAG,9,0.5523659669376255,32.099222884904414
Electric_Vehicles,RAG,0,0.19892048027198828,76.1226447505471
Electric_Vehicles,RAG,1,0.6795637559505903,76.96211422214733
Electric_Vehicles,RAG,2,0.49837464576473745,76.73830910689249
Electric_Vehicles,RAG,3,0.11122481884917208,76.31144899666012
Electric_Vehicles,RAG,4,0.46273868670189705,76.55044239897435
Electric_Vehicles,RAG,5,0.02603503714443333,76.2979119310079
Electric_Vehicles,RAG,6,0.15646577861049984,76.31196909580643
Electric_Vehicles,RAG,7,0.21512756209117823,76.39862139190433
Electric_Vehicles,RAG,8,0.4607371116461335,76.73537194718098
Electric_Vehicles,RAG,9,0.0718293206596561,76.2317760371818
Climate,CARAG,0,0.6625538833086847,37.860286456518224
Climate,CARAG,1,0.12338629030383454,37.2024311224636
Climate,CARAG,2,0.14416127423763772,37.206109698665124
Climate,CARAG,3,0.2533537793969773,37.52324252703904
Climate,CARAG,4,0.13971479883218843,37.195033288173214
Climate,CARAG,5,0.08554734823163612,37.265350407380275
Climate,CARAG,6,0.1878066039936861,37.16358611339114
Climate,CARAG,7,0.19297823162071384,37.10824265794328
Climate,CARAG,8,0.17891663096531718,37.1222902140484
Climate,CARAG,9,0.12516095956529888,37.424693827631344
Covid,CARAG,0,0.22634139563413444,31.560833630499882
Covid,CARAG,1,0.25056518909992137,31.466473025836827
Covid,CARAG,2,0.2719732997882078,31.44444379804803
Covid,CARAG,3,0.1995334514698745,31.403045652071093
Covid,CARAG,4,0.13539838612387922,31.44921615043856
Covid,CARAG,5,0.17356878134932688,31.484334183723657
Covid,CARAG,6,0.17673042712291412,31.55580013074716
Covid,CARAG,7,0.1687450588691869,31.68947907435293
Covid,CARAG,8,0.19942662052139903,31.724228582059915
Covid,CARAG,9,0.31777845159730017,31.80048179786029
Electric_Vehicles,CARAG,0,0.11551955791756466,76.17484211019645
Electric_Vehicles,CARAG,1,0.14048430193854067,76.42365655262817
Electric_Vehicles,CARAG,2,0.10929172724671377,76.18087652076295
Electric_Vehicles,CARAG,3,0.1338430083744028,76.15745537938356
Electric_Vehicles,CARAG,4,0.46682052502105914,76.54090270095548
Electric_Vehicles,CARAG,5,0.16428217562506614,76.18711555474007
Electric_Vehicles,CARAG,6,0.11880496948236523,76.31785826793462
Electric_Vehicles,CARAG,7,0.14029405170546025,76.18078888024083
Electric_Vehicles,CARAG,8,0.3522422127176907,76.59010146794033
Electric_Vehicles,CARAG,9,0.11594207211110641,76.21986520764223
